feature,mean_abs_shap
query_capitalized_density,1.0068057
query_word_count,0.62210256
query_avg_word_length,0.40010634
ambiguity_score,0.3474376
question_type_single_fact_lookup,0.16863106
source_category_open_qa,0.1209648
reasoning_step_count,0.12096214
source_category_brainstorming,0.07608236
query_has_question_mark,0.07144373
question_type_multi_step_reasoning,0.05677877
query_number_density,0.03693999
question_type_open_ended,0.028592417
source_category_classification,0.0
source_category_general_qa,0.0
source_category_creative_writing,0.0
source_category_closed_qa,0.0
source_category_information_extraction,0.0
domain_writing,0.0
domain_other,0.0
domain_math,0.0
domain_factual,0.0
domain_creative,0.0
domain_coding,0.0
source_category_summarization,0.0
