threshold,pct_routed_small,avg_quality_loss,p90_quality_loss,max_quality_loss
0.0,1.0,-0.0767,1.0,7.0
0.01,1.0,-0.0767,1.0,7.0
0.02,1.0,-0.0767,1.0,7.0
0.03,1.0,-0.0767,1.0,7.0
0.04,1.0,-0.0767,1.0,7.0
0.05,1.0,-0.0767,1.0,7.0
0.06,1.0,-0.0767,1.0,7.0
0.07,1.0,-0.0767,1.0,7.0
0.08,0.9956,-0.0759,1.0,7.0
0.09,0.9956,-0.0759,1.0,7.0
0.1,0.9956,-0.0759,1.0,7.0
0.11,0.9933,-0.0794,1.0,7.0
0.12,0.9911,-0.0818,1.0,7.0
0.13,0.9867,-0.0845,1.0,7.0
0.14,0.9811,-0.0917,1.0,7.0
0.15,0.98,-0.0896,1.0,7.0
0.16,0.9744,-0.0878,1.0,7.0
0.17,0.9689,-0.0929,1.0,7.0
0.18,0.9589,-0.1031,1.0,7.0
0.19,0.9511,-0.1016,1.0,7.0
0.2,0.9478,-0.0996,1.0,7.0
0.21,0.94,-0.0934,1.0,7.0
0.22,0.93,-0.092,1.0,7.0
0.23,0.9222,-0.1,1.0,7.0
0.24,0.9089,-0.099,1.0,7.0
0.25,0.8989,-0.1051,1.0,7.0
0.26,0.8867,-0.1028,1.0,7.0
0.27,0.8744,-0.1093,1.0,7.0
0.28,0.8689,-0.1087,1.0,7.0
0.29,0.8578,-0.1127,1.0,7.0
0.3,0.85,-0.1046,1.0,7.0
0.31,0.8389,-0.1086,1.0,7.0
0.32,0.8278,-0.1221,1.0,7.0
0.33,0.8189,-0.1275,1.0,7.0
0.34,0.81,-0.1303,1.0,7.0
0.35,0.8011,-0.1359,1.0,7.0
0.36,0.7944,-0.1371,1.0,7.0
0.37,0.7822,-0.1349,1.0,7.0
0.38,0.7656,-0.1364,1.0,7.0
0.39,0.7511,-0.145,1.0,6.0
0.4,0.7367,-0.1357,1.0,6.0
0.41,0.7233,-0.1367,1.0,6.0
0.42,0.7122,-0.1388,1.0,6.0
0.43,0.6944,-0.1472,1.0,6.0
0.44,0.68,-0.1487,1.0,6.0
0.45,0.6689,-0.1561,1.0,6.0
0.46,0.6578,-0.1639,1.0,6.0
0.47,0.6522,-0.1687,1.0,6.0
0.48,0.6433,-0.1675,1.0,6.0
0.49,0.6356,-0.1678,1.0,6.0
0.5,0.6233,-0.1586,1.0,6.0
0.51,0.6122,-0.1506,1.0,6.0
0.52,0.6,-0.1574,1.0,6.0
0.53,0.5878,-0.1664,1.0,6.0
0.54,0.5811,-0.1663,1.0,6.0
0.55,0.5678,-0.1781,1.0,6.0
0.56,0.5544,-0.1764,1.0,6.0
0.57,0.5389,-0.167,1.0,6.0
0.58,0.5278,-0.1789,1.0,6.0
0.59,0.5156,-0.1897,1.0,6.0
0.6,0.5044,-0.2203,1.0,6.0
0.61,0.4911,-0.2308,1.0,6.0
0.62,0.48,-0.2454,1.0,5.0
0.63,0.4667,-0.2476,1.0,5.0
0.64,0.46,-0.2585,1.0,5.0
0.65,0.4578,-0.2621,1.0,5.0
0.66,0.4511,-0.2512,1.0,5.0
0.67,0.4433,-0.2431,1.0,5.0
0.68,0.4344,-0.2404,1.0,5.0
0.69,0.43,-0.2274,1.0,5.0
0.7,0.4233,-0.2257,1.0,5.0
0.71,0.4133,-0.2473,1.0,5.0
0.72,0.4033,-0.2342,1.0,5.0
0.73,0.3956,-0.2331,1.0,5.0
0.74,0.3889,-0.24,1.0,5.0
0.75,0.38,-0.2427,1.0,5.0
0.76,0.3644,-0.2744,1.0,3.0
0.77,0.3511,-0.288,1.0,3.0
0.78,0.3433,-0.2783,1.0,3.0
0.79,0.3356,-0.3046,1.0,3.0
0.8,0.3289,-0.3142,1.0,3.0
0.81,0.32,-0.3264,1.0,3.0
0.82,0.3189,-0.331,1.0,3.0
0.83,0.31,-0.3226,1.0,3.0
0.84,0.3011,-0.3395,1.0,3.0
0.85,0.29,-0.3525,1.0,3.0
0.86,0.28,-0.3294,1.0,3.0
0.87,0.2733,-0.3374,1.0,3.0
0.88,0.2622,-0.3347,1.0,3.0
0.89,0.25,-0.3156,1.0,3.0
0.9,0.2378,-0.3318,1.0,3.0
0.91,0.2289,-0.3641,1.0,3.0
0.92,0.2233,-0.3731,1.0,3.0
0.93,0.2167,-0.3795,1.0,3.0
0.94,0.21,-0.4074,1.0,3.0
0.95,0.2033,-0.4262,1.0,3.0
0.96,0.1978,-0.3933,1.0,3.0
0.97,0.1833,-0.4182,1.0,3.0
0.98,0.1633,-0.381,1.0,3.0
0.99,0.1233,-0.3243,1.0,3.0
1.0,0.0,0.0,0.0,0.0
