threshold,pct_routed_small,avg_quality_loss,p90_quality_loss,max_quality_loss
0.0,1.0,-0.0767,1.0,7.0
0.01,1.0,-0.0767,1.0,7.0
0.02,1.0,-0.0767,1.0,7.0
0.03,1.0,-0.0767,1.0,7.0
0.04,1.0,-0.0767,1.0,7.0
0.05,1.0,-0.0767,1.0,7.0
0.06,0.9989,-0.0768,1.0,7.0
0.07,0.9967,-0.078,1.0,7.0
0.08,0.9967,-0.078,1.0,7.0
0.09,0.9956,-0.0781,1.0,7.0
0.1,0.9922,-0.0806,1.0,7.0
0.11,0.9911,-0.0807,1.0,7.0
0.12,0.9778,-0.0886,1.0,7.0
0.13,0.9744,-0.0889,1.0,7.0
0.14,0.9678,-0.0861,1.0,7.0
0.15,0.9644,-0.0864,1.0,7.0
0.16,0.9589,-0.0892,1.0,7.0
0.17,0.9556,-0.093,1.0,7.0
0.18,0.95,-0.0854,1.0,7.0
0.19,0.9422,-0.0849,1.0,7.0
0.2,0.9378,-0.09,1.0,7.0
0.21,0.93,-0.092,1.0,7.0
0.22,0.9244,-0.0913,1.0,7.0
0.23,0.9156,-0.0959,1.0,7.0
0.24,0.9078,-0.0991,1.0,7.0
0.25,0.9011,-0.1011,1.0,7.0
0.26,0.8956,-0.1092,1.0,7.0
0.27,0.8889,-0.1113,1.0,7.0
0.28,0.8856,-0.1054,1.0,7.0
0.29,0.8811,-0.0971,1.0,7.0
0.3,0.8756,-0.0977,1.0,7.0
0.31,0.8711,-0.0969,1.0,7.0
0.32,0.8633,-0.0991,1.0,7.0
0.33,0.8622,-0.1005,1.0,7.0
0.34,0.8533,-0.1068,1.0,7.0
0.35,0.8444,-0.1,1.0,7.0
0.36,0.8344,-0.1025,1.0,7.0
0.37,0.8333,-0.104,1.0,7.0
0.38,0.8278,-0.1087,1.0,7.0
0.39,0.8144,-0.1064,1.0,7.0
0.4,0.8078,-0.1073,1.0,7.0
0.41,0.8,-0.1236,1.0,7.0
0.42,0.7944,-0.1259,1.0,7.0
0.43,0.79,-0.1252,1.0,7.0
0.44,0.7833,-0.1305,1.0,7.0
0.45,0.7733,-0.1408,1.0,7.0
0.46,0.7656,-0.1451,1.0,7.0
0.47,0.7589,-0.1435,1.0,7.0
0.48,0.7533,-0.146,1.0,7.0
0.49,0.7456,-0.1431,1.0,7.0
0.5,0.7389,-0.1549,1.0,6.0
0.51,0.7333,-0.1561,1.0,6.0
0.52,0.7233,-0.1598,1.0,6.0
0.53,0.72,-0.1574,1.0,6.0
0.54,0.7167,-0.1566,1.0,6.0
0.55,0.71,-0.1596,1.0,6.0
0.56,0.6989,-0.1606,1.0,6.0
0.57,0.6944,-0.1568,1.0,6.0
0.58,0.6878,-0.1486,1.0,6.0
0.59,0.68,-0.1471,1.0,6.0
0.6,0.6733,-0.1518,1.0,6.0
0.61,0.67,-0.1526,1.0,6.0
0.62,0.6556,-0.1424,1.0,6.0
0.63,0.65,-0.1607,1.0,6.0
0.64,0.6389,-0.1687,1.0,6.0
0.65,0.6256,-0.1687,1.0,6.0
0.66,0.6244,-0.169,1.0,6.0
0.67,0.6156,-0.1588,1.0,6.0
0.68,0.6022,-0.1458,1.0,6.0
0.69,0.5878,-0.1626,1.0,6.0
0.7,0.5778,-0.1558,1.0,6.0
0.71,0.5656,-0.1552,1.0,6.0
0.72,0.5556,-0.162,1.0,6.0
0.73,0.5478,-0.1602,1.0,6.0
0.74,0.5411,-0.1561,1.0,6.0
0.75,0.5289,-0.1513,1.0,6.0
0.76,0.5189,-0.1499,1.0,6.0
0.77,0.5089,-0.1572,1.0,6.0
0.78,0.4933,-0.1599,1.0,6.0
0.79,0.48,-0.1458,1.0,6.0
0.8,0.4567,-0.1509,1.0,4.0
0.81,0.4467,-0.1294,1.0,4.0
0.82,0.4344,-0.1458,1.0,4.0
0.83,0.4244,-0.1492,1.0,4.0
0.84,0.4122,-0.1375,1.0,4.0
0.85,0.3967,-0.1485,1.0,4.0
0.86,0.3633,-0.1101,1.0,4.0
0.87,0.3433,-0.1036,1.0,4.0
0.88,0.3211,-0.0865,1.0,4.0
0.89,0.2878,-0.0965,1.0,4.0
0.9,0.2633,-0.0928,1.0,3.0
0.91,0.2233,-0.0846,1.0,3.0
0.92,0.1911,-0.0872,1.0,3.0
0.93,0.1678,-0.053,1.0,3.0
0.94,0.1422,-0.0625,1.0,3.0
0.95,0.11,-0.1212,1.0,3.0
0.96,0.0744,-0.1493,1.0,3.0
0.97,0.0411,-0.0811,1.0,3.0
0.98,0.0156,0.1429,1.0,3.0
0.99,0.0011,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0
